what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.layout.group,1.5.0.r37x201206111249,"org.eclipse.wb.layout.group",1346257191265
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.5.0.r37x201206111310,"org.eclipse.wb.swing.MigLayout.lib",1346257191276
started,bundle,org.eclipse.wb.swing.MigLayout,1.5.0.r37x201206111310,"org.eclipse.wb.swing.MigLayout",1346257191277
started,bundle,org.eclipse.wb.swing.java6,1.5.0.r37x201206111310,"org.eclipse.wb.swing.java6",1346257191281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257192138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257192142
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1346257201313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257208198
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1346257209707
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1346257209707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257209782
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346257211000
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1346257211616
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1346257211648
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1346257211652
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1346257211671
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1346257211671
started,bundle,com.google.gdt.eclipse.designer.wizards,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.wizards",1346257211733
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1346257211764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257214551
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1346257216354
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1346257216457
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1346257216497
started,bundle,org.testng.eclipse,6.7.0.20120825_1316,"org.testng.eclipse",1346257216591
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1346257216594
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1346257217268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346257217269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257217321
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1346257217917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257219560
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1346257219819
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1346257219819
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1346257219988
started,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1346257219995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257224316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346257224329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257226036
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346257227293
